match_date,home_team,away_team,home_score,away_score,tournament,city,country,neutral_bool,tournament_weight,home_goals_scored_avg,away_goals_scored_avg,home_goals_conceded_avg,away_goals_conceded_avg,home_form_avg,away_form_avg,home_elo_before,away_elo_before
2022-09-22,Poland,Netherlands,0.0,2.0,UEFA Nations League,Warsaw,Poland,False,1.5,1.4,2.6,2.0,1.2,1.4,2.6,1568.2526495938475,1689.4226071145713
2022-09-22,Thailand,Malaysia,1.0,1.0,King's Cup,Chiang Mai,Thailand,False,1.0,2.2,1.8,0.8,2.2,2.0,1.2,1569.46103034746,1524.717421388406
2022-09-22,Croatia,Denmark,2.0,1.0,UEFA Nations League,Zagreb,Croatia,False,1.5,0.8,1.2,0.8,1.0,2.0,1.8,1608.928493126665,1668.6587132966886
2022-09-22,France,Austria,2.0,0.0,UEFA Nations League,Paris,France,False,1.5,1.0,1.2,1.0,1.4,1.0,0.8,1680.814183297218,1544.9899494237525
2022-09-22,Belgium,Wales,2.0,1.0,UEFA Nations League,Brussels,Belgium,False,1.5,2.0,1.2,1.4,1.6,1.6,0.8,1710.5652639312107,1588.4382531694778
2022-09-22,Trinidad and Tobago,Tajikistan,1.0,2.0,King's Cup,Chiang Mai,Thailand,True,1.0,1.8,1.4,0.8,0.2,2.0,2.2,1520.6698200753567,1538.0341885057414
2022-09-22,Lithuania,Faroe Islands,1.0,1.0,UEFA Nations League,Vilnius,Lithuania,False,1.5,0.2,1.2,2.6,2.2,0.0,0.8,1290.8917947451464,1371.76974493367
2022-09-22,Kazakhstan,Belarus,2.0,1.0,UEFA Nations League,Astana,Kazakhstan,False,1.5,1.2,0.4,0.6,1.8,2.0,0.4,1425.088085005637,1383.052256888135
2022-09-22,Slovakia,Azerbaijan,1.0,2.0,UEFA Nations League,Trnava,Slovakia,False,1.5,1.8,0.6,0.6,1.2,1.8,0.8,1471.1326845845765,1353.9183285074453
2022-09-22,Latvia,Moldova,1.0,2.0,UEFA Nations League,Riga,Latvia,False,1.5,2.6,1.4,0.6,1.0,3.0,2.0,1439.7580357955812,1330.522159553323
