team,player,value
Países Bajos,Frenkie de Jong,35.0
Países Bajos,Crysencio Summerville,35.0
Países Bajos,Brian Brobbey,30.0
Países Bajos,Robin Roefs,28.0
Países Bajos,Mats Wieffer,25.0
Países Bajos,Denzel Dumfries,25.0
Países Bajos,Quinten Timber,25.0
Países Bajos,Justin Kluivert,25.0
Países Bajos,Noa Lang,22.0
Países Bajos,Lutsharel Geertruida,20.0
Países Bajos,Virgil van Dijk,15.0
Países Bajos,Guus Til,15.0
Países Bajos,Teun Koopmeiners,14.0
Países Bajos,Nathan Aké,12.0
Países Bajos,Memphis Depay,7.0
Países Bajos,Mark Flekken,6.0
Países Bajos,Marten de Roon,3.2
Países Bajos,Wout Weghorst,2.0
Noruega,Erling Haaland,200.0
Noruega,Martin Ødegaard,65.0
Noruega,Jørgen Strand Larsen,40.0
Noruega,Antonio Nusa,32.0
Noruega,Andreas Schjelderup,30.0
Noruega,Oscar Bobb,28.0
Noruega,Julian Ryerson,25.0
Noruega,Sander Berge,25.0
Noruega,Kristoffer Ajer,18.0
Noruega,Alexander Sørloth,18.0
Noruega,Fredrik Aursnes,15.0
Noruega,Leo Østigård,13.0
Noruega,Torbjørn Heggem,13.0
Noruega,Kristian Thorstvedt,12.0
Noruega,Jens Petter Hauge,12.0
Noruega,David Møller Wolfe,8.0
Noruega,Patrick Berg,8.0
Noruega,Henrik Falchener,6.0
Noruega,Sondre Langås,4.0
Noruega,Fredrik Bjørkan,3.5
Noruega,Marcus Pedersen,3.5
Noruega,Sander Tangvik,3.0
Noruega,Morten Thorsby,2.8
Noruega,Thelo Aasgaard,2.8
Noruega,Egil Selvik,1.5
Noruega,Ørjan Nyland,0.8
Bélgica,Jérémy Doku,75.0
Bélgica,Amadou Onana,45.0
Bélgica,Senne Lammens,35.0
Bélgica,Matias Fernandez-Pardo,35.0
Bélgica,Youri Tielemans,30.0
Bélgica,Charles De Ketelaere,30.0
Bélgica,Zeno Debast,28.0
Bélgica,Mike Penders,25.0
Bélgica,Nathan Ngoy,25.0
Bélgica,Diego Moreira,25.0
Bélgica,Koni De Winter,23.0
Bélgica,Maxim De Cuyper,22.0
Bélgica,Joaquin Seys,20.0
Bélgica,Alexis Saelemaekers,20.0
Bélgica,Leandro Trossard,18.0
Bélgica,Arthur Theate,17.0
Bélgica,Thibaut Courtois,15.0
Bélgica,Dodi Lukébakio,15.0
Bélgica,Nicolas Raskin,12.0
Bélgica,Timothy Castagne,8.0
Bélgica,Kevin De Bruyne,8.0
Bélgica,Romelu Lukaku,6.0
Bélgica,Hans Vanaken,5.0
Bélgica,Brandon Mechele,2.8
Bélgica,Thomas Meunier,1.5
Bélgica,Axel Witsel,1.2
Costa de Marfil,Yan Diomande,90.0
Costa de Marfil,Amad Diallo,45.0
Costa de Marfil,Ousmane Diomande,42.0
Costa de Marfil,Bazoumana Touré,40.0
Costa de Marfil,Evan Ndicka,35.0
Costa de Marfil,Ange-Yoan Bonny,35.0
Costa de Marfil,Evann Guessand,25.0
Costa de Marfil,Wilfried Singo,23.0
Costa de Marfil,Christ Inao Oulaï,23.0
Costa de Marfil,Simon Adingra,22.0
Costa de Marfil,Guéla Doué,20.0
Costa de Marfil,Ibrahim Sangaré,20.0
Costa de Marfil,Elye Wahi,18.0
Costa de Marfil,Emmanuel Agbadou,16.0
Costa de Marfil,Odilon Kossounou,15.0
Costa de Marfil,Franck Kessié,12.0
Costa de Marfil,Seko Fofana,8.0
Costa de Marfil,Nicolas Pépé,6.0
Costa de Marfil,Yahia Fofana,5.0
Costa de Marfil,Parfait Guiagon,5.0
Costa de Marfil,Oumar Diakité,5.0
Costa de Marfil,Christopher Operi,4.0
Costa de Marfil,Alban Lafont,3.0
Costa de Marfil,Ghislain Konan,3.0
Costa de Marfil,Mohamed Koné,2.0
Costa de Marfil,Jean Michaël Seri,0.1
Senegal,Iliman Ndiaye,55.0
Senegal,Lamine Camara,40.0
Senegal,Pape Gueye,40.0
Senegal,Ismaïla Sarr,40.0
Senegal,Nicolas Jackson,40.0
Senegal,Habib Diarra,35.0
Senegal,Pape Matar Sarr,30.0
Senegal,Assane Diao,30.0
Senegal,Ibrahim Mbaye,30.0
Senegal,El Hadji Malick Diouf,28.0
Senegal,Mamadou Sarr,22.0
Senegal,Moussa Niakhaté,15.0
Senegal,Bamba Dieng,15.0
Senegal,Antoine Mendy,10.0
Senegal,Ismail Jakobs,8.0
Senegal,Yehvann Diouf,7.0
Senegal,Krépin Diatta,6.0
Senegal,Sadio Mané,6.0
Senegal,Cherif Ndiaye,5.0
Senegal,Kalidou Koulibaly,4.5
Senegal,Edouard Mendy,4.0
Senegal,Bara Sapoko Ndiaye,4.0
Senegal,Pathé Ciss,1.8
Senegal,Mory Diaw,0.9
Senegal,Idrissa Gueye,0.5
Senegal,Abdoulaye Seck,0.4
Turquía,Arda Güler,90.0
Turquía,Kenan Yıldız,75.0
Turquía,Can Uzun,45.0
Turquía,Ferdi Kadıoğlu,35.0
Turquía,Barış Alper Yılmaz,30.0
Turquía,Orkun Kökçü,25.0
Turquía,Kerem Aktürkoğlu,20.0
Turquía,Yunus Akgün,18.0
Turquía,Hakan Çalhanoğlu,16.0
Turquía,Uğurcan Çakır,15.0
Turquía,Ozan Kabak,15.0
Turquía,İsmail Yüksek,15.0
Turquía,Zeki Çelik,14.0
Turquía,Merih Demiral,12.0
Turquía,Mert Müldür,7.0
Turquía,Oğuz Aydın,7.0
Turquía,Abdülkerim Bardakcı,6.5
Turquía,Altay Bayındır,5.0
Turquía,Eren Elmalı,5.0
Turquía,Deniz Gül,5.0
Turquía,Çağlar Söyüncü,3.5
Turquía,Salih Özcan,3.5
Turquía,İrfan Can Kahveci,3.0
Turquía,Kaan Ayhan,1.5
Turquía,Samet Akaydin,1.2
Turquía,Mert Günok,0.5
Marruecos,Achraf Hakimi,80.0
Marruecos,Ayyoub Bouaddi,50.0
Marruecos,Ismael Saibari,40.0
Marruecos,Bilal El Khannouss,35.0
Marruecos,Brahim Díaz,35.0
Marruecos,Chemsdine Talbi,25.0
Marruecos,Neil El Aynaoui,23.0
Marruecos,Samir El Mourabet,22.0
Marruecos,Noussair Mazraoui,18.0
Marruecos,Zakaria El Ouahdi,17.0
Marruecos,Chadi Riad,15.0
Marruecos,Anass Salah-Eddine,12.0
Marruecos,Gessime Yassine,12.0
Marruecos,Sofyan Amrabat,10.0
Marruecos,Azzedine Ounahi,10.0
Marruecos,Ayoube Amaimouni-Echghouyab,10.0
Marruecos,Issa Diop,8.0
Marruecos,Soufiane Rahimi,6.0
Marruecos,Redouane Halhal,5.0
Marruecos,Ayoub El Kaabi,4.5
Marruecos,Amine Sbaï,4.0
Marruecos,Yassine Bounou,3.0
Marruecos,Youssef Belammari,1.2
Marruecos,Ahmed Reda Tagnaouti,1.0
Marruecos,Munir El Kajoui,0.6
Marruecos,Marwane Saadane,0.4
Suecia,Alexander Isak,85.0
Suecia,Viktor Gyökeres,65.0
Suecia,Lucas Bergvall,35.0
Suecia,Yasin Ayari,35.0
Suecia,Anthony Elanga,32.0
Suecia,Isak Hien,22.0
Suecia,Daniel Svensson,22.0
Suecia,Gabriel Gudmundsson,20.0
Suecia,Benjamin Nygren,14.0
Suecia,Viktor Johansson,12.0
Suecia,Gustaf Lagerbielke,10.0
Suecia,Mattias Svanberg,8.0
Suecia,Besfort Zeneli,6.0
Suecia,Victor Lindelöf,5.0
Suecia,Hjalmar Ekdal,5.0
Suecia,Eric Smith,5.0
Suecia,Elliot Stroud,5.0
Suecia,Carl Starfelt,4.5
Suecia,Jesper Karlström,4.0
Suecia,Alexander Bernhardsson,3.0
Suecia,Jacob Widell Zetterström,2.5
Suecia,Herman Johansson,1.8
Suecia,Gustaf Nilsson,1.8
Suecia,Taha Ali,1.5
Suecia,Ken Sema,0.8
Suecia,Kristoffer Nordfeldt,0.175
Croacia,Josko Gvardiol,70.0
Croacia,Luka Vuskovic,60.0
Croacia,Josip Stanisic,40.0
Croacia,Petar Sučić,40.0
Croacia,Martin Baturina,30.0
Croacia,Igor Matanovic,22.0
Croacia,Josip Sutalo,12.0
Croacia,Petar Musa,12.0
Croacia,Mateo Kovacic,10.0
Croacia,Luka Sucic,10.0
Croacia,Nikola Vlašić,10.0
Croacia,Toni Fruk,9.0
Croacia,Nikola Moro,7.0
Croacia,Marin Pongracic,6.5
Croacia,Marco Pašalić,6.5
Croacia,Kristijan Jakic,6.0
Croacia,Mario Pašalić,6.0
Croacia,Dominik Kotarski,5.0
Croacia,Ivor Pandur,4.5
Croacia,Dominik Livakovic,4.0
Croacia,Martin Erlić,4.0
Croacia,Luka Modrić,3.5
Croacia,Duje Caleta-Car,2.8
Croacia,Ante Budimir,2.8
Croacia,Andrej Kramaric,2.5
Croacia,Ivan Perišić,1.2
Estados Unidos,Christian Pulisic,40.0
Estados Unidos,Folarin Balogun,40.0
Estados Unidos,Weston McKennie,30.0
Estados Unidos,Malik Tillman,30.0
Estados Unidos,Ricardo Pepi,30.0
Estados Unidos,Chris Richards,28.0
Estados Unidos,Tyler Adams,25.0
Estados Unidos,Antonee Robinson,22.0
Estados Unidos,Brenden Aaronson,22.0
Estados Unidos,Timothy Weah,20.0
Estados Unidos,Sergiño Dest,18.0
Estados Unidos,Haji Wright,16.0
Estados Unidos,Álex Zendejas,10.0
Estados Unidos,Sebastian Berhalter,8.0
Estados Unidos,Mark McKenzie,7.0
Estados Unidos,Joe Scally,7.0
Estados Unidos,Auston Trusty,6.0
Estados Unidos,Max Arfsten,5.0
Estados Unidos,Giovanni Reyna,4.0
Estados Unidos,Miles Robinson,3.5
Estados Unidos,Alex Freeman,3.5
Estados Unidos,Cristian Roldán,3.5
Estados Unidos,Matt Turner,2.5
Estados Unidos,Chris Brady,2.5
Estados Unidos,Matt Freese,2.0
Estados Unidos,Tim Ream,0.15
Ecuador,Moisés Caicedo,100.0
Ecuador,Willian Pacho,80.0
Ecuador,Piero Hincapié,50.0
Ecuador,Joel Ordóñez,33.0
Ecuador,Nilson Angulo,17.0
Ecuador,Pervis Estupiñán,12.0
Ecuador,Gonzalo Plata,9.0
Ecuador,Kendry Páez,8.0
Ecuador,Denil Castillo,7.0
Ecuador,Jeremy Arévalo,7.0
Ecuador,Pedro Vite,6.0
Ecuador,Kevin Rodríguez,6.0
Ecuador,John Yeboah,5.5
Ecuador,Alan Franco,4.5
Ecuador,Yaimar Medina,4.0
Ecuador,Angelo Preciado,3.5
Ecuador,Alan Minda,3.0
Ecuador,Jackson Porozo,2.5
Ecuador,Jordy Alcívar,2.0
Ecuador,Jordy Caicedo,2.0
Ecuador,Gonzalo Valle,1.8
Ecuador,Anthony Valencia,1.8
Ecuador,Félix Torres,1.0
Ecuador,Enner Valencia,1.0
Ecuador,Moisés Ramírez,0.8
Ecuador,Hernán Galíndez,0.3
Uruguay,Federico Valverde,90.0
Uruguay,Maxi Araújo,35.0
Uruguay,Rodrigo Zalazar,30.0
Uruguay,Manuel Ugarte,25.0
Uruguay,Ronald Araujo,20.0
Uruguay,Rodrigo Bentancur,20.0
Uruguay,Darwin Núñez,20.0
Uruguay,Mathías Olivera,15.0
Uruguay,Giorgian de Arrascaeta,14.0
Uruguay,Joaquín Piquerez,12.0
Uruguay,Santiago Bueno,10.0
Uruguay,José María Giménez,9.0
Uruguay,Nicolás de la Cruz,8.0
Uruguay,Agustín Canobbio,8.0
Uruguay,Brian Rodríguez,8.0
Uruguay,Emiliano Martínez,6.5
Uruguay,Facundo Pellistri,5.0
Uruguay,Sebastián Cáceres,4.5
Uruguay,Juan Manuel Sanabria,4.0
Uruguay,Federico Viñas,4.0
Uruguay,Matías Viña,3.5
Uruguay,Rodrigo Aguirre,2.3
Uruguay,Santiago Mele,2.0
Uruguay,Sergio Rochet,1.8
Uruguay,Guillermo Varela,1.0
Uruguay,Fernando Muslera,0.7
Suiza,Johan Manzambi,50.0
Suiza,Gregor Kobel,40.0
Suiza,Dan Ndoye,32.0
Suiza,Denis Zakaria,25.0
Suiza,Ardon Jashari,25.0
Suiza,Noah Okafor,25.0
Suiza,Manuel Akanji,17.0
Suiza,Breel Embolo,15.0
Suiza,Fabian Rieder,12.0
Suiza,Rubén Vargas,12.0
Suiza,Aurèle Amenda,10.0
Suiza,Luca Jaquez,10.0
Suiza,Nico Elvedi,8.0
Suiza,Granit Xhaka,8.0
Suiza,Djibril Sow,7.5
Suiza,Zeki Amdouni,7.0
Suiza,Marvin Keller,6.0
Suiza,Miro Muheim,5.0
Suiza,Michel Aebischer,4.0
Suiza,Remo Freuler,3.0
Suiza,Yvon Mvogo,2.5
Suiza,Eray Cömert,2.5
Suiza,Christian Fassnacht,2.0
Suiza,Cedric Itten,1.8
Suiza,Ricardo Rodríguez,1.4
Suiza,Silvan Widmer,0.8
Colombia,Luis Díaz,70.0
Colombia,Luis Suárez,30.0
Colombia,Richard Ríos,25.0
Colombia,Jhon Lucumí,22.0
Colombia,Daniel Muñoz,22.0
Colombia,Cucho Hernández,18.0
Colombia,Davinson Sánchez,16.0
Colombia,Jhon Arias,15.0
Colombia,Jorge Carrascal,13.0
Colombia,Andrés Gómez,11.0
Colombia,Gustavo Puerta,10.0
Colombia,Jhon Córdoba,10.0
Colombia,Jefferson Lerma,6.0
Colombia,Willer Ditta,5.5
Colombia,Jáminton Campaz,5.5
Colombia,Kevin Castaño,5.0
Colombia,Juan Portilla,5.0
Colombia,Álvaro Montero,2.5
Colombia,Yerry Mina,2.5
Colombia,Deiver Machado,1.8
Colombia,Juan Fernando Quintero,1.8
Colombia,Johan Mojica,1.5
Colombia,James Rodríguez,1.5
Colombia,Santiago Arias,1.2
Colombia,Camilo Vargas,0.45
Colombia,David Ospina,0.1
Japón,Kaishu Sano,40.0
Japón,Yuito Suzuki,24.0
Japón,Zion Suzuki,20.0
Japón,Takefusa Kubo,20.0
Japón,Hiroki Ito,18.0
Japón,Ritsu Doan,17.0
Japón,Ayase Ueda,17.0
Japón,Ao Tanaka,13.0
Japón,Daizen Maeda,13.0
Japón,Tsuyoshi Watanabe,10.0
Japón,Daichi Kamada,10.0
Japón,Keito Nakamura,10.0
Japón,Keisuke Goto,10.0
Japón,Ko Itakura,8.0
Japón,Kento Shiogai,8.0
Japón,Yukinari Sugawara,5.5
Japón,Ayumu Seko,5.0
Japón,Takehiro Tomiyasu,5.0
Japón,Shuto Machino,4.0
Japón,Junnosuke Suzuki,3.5
Japón,Junya Ito,3.0
Japón,Keisuke Osako,2.0
Japón,Tomoki Hayakawa,2.0
Japón,Koki Ogawa,2.0
Japón,Shogo Taniguchi,0.75
Japón,Yuto Nagatomo,0.1
Argelia,Ibrahim Maza,45.0
Argelia,Rayan Aït-Nouri,40.0
Argelia,Amine Gouiri,28.0
Argelia,Anis Hadj Moussa,23.0
Argelia,Mohamed Amoura,20.0
Argelia,Farès Chaïbi,15.0
Argelia,Hicham Boudaoui,12.0
Argelia,Houssem Aouar,8.0
Argelia,Farès Ghedjemis,7.5
Argelia,Ramy Bensebaini,7.0
Argelia,Jaouen Hadjam,7.0
Argelia,Rafik Belghali,7.0
Argelia,Yassine Titraoui,7.0
Argelia,Ramiz Zerrouki,6.5
Argelia,Riyad Mahrez,5.0
Argelia,Nabil Bentaleb,4.5
Argelia,Samir Chergui,3.0
Argelia,Adil Boulbina,3.0
Argelia,Zineddine Belaid,1.8
Argelia,Mohamed Amine Tougai,1.3
Argelia,Nadhir Benbouali,1.2
Argelia,Luca Zidane,1.0
Argelia,Aïssa Mandi,1.0
Argelia,Achref Abada,1.0
Argelia,Oussama Benbout,0.85
Argelia,Melvin Mastil,0.25
Austria,Konrad Laimer,32.0
Austria,Nicolas Seiwald,25.0
Austria,Paul Wanner,22.0
Austria,David Affengruber,20.0
Austria,Kevin Danso,20.0
Austria,Carney Chukwuemeka,20.0
Austria,Romano Schmid,15.0
Austria,Patrick Wimmer,12.0
Austria,Philipp Lienhart,10.0
Austria,Marco Friedl,10.0
Austria,Xaver Schlager,10.0
Austria,Alexander Prass,9.0
Austria,Stefan Posch,6.0
Austria,Marcel Sabitzer,6.0
Austria,Sasa Kalajdzic,4.0
Austria,Michael Svoboda,3.5
Austria,David Alaba,3.0
Austria,Dejan Ljubicic,3.0
Austria,Florian Grillitsch,2.5
Austria,Florian Wiegele,2.2
Austria,Patrick Pentz,2.2
Austria,Alexander Schlager,2.0
Austria,Marko Arnautovic,2.0
Austria,Phillipp Mwene,1.5
Austria,Michael Gregoritsch,1.5
Austria,Alessandro Schöpf,0.8
Ghana,Antoine Semenyo,80.0
Ghana,Abdul Fatawu,20.0
Ghana,Kamaldeen Sulemana,17.0
Ghana,Brandon Thomas-Asante,16.0
Ghana,Christopher Bonsu Baah,14.0
Ghana,Kojo Peprah Oppong,10.0
Ghana,Caleb Yirenkyi,10.0
Ghana,Ernest Nuamah,10.0
Ghana,Iñaki Williams,8.0
Ghana,Alidu Seidu,6.0
Ghana,Jonas Adjetey,6.0
Ghana,Augustine Boakye,6.0
Ghana,Jerome Opoku,5.0
Ghana,Gideon Mensah,4.0
Ghana,Elisha Owusu,4.0
Ghana,Abdul Mumin,3.0
Ghana,Marvin Senaya,3.0
Ghana,Prince Adu,3.0
Ghana,Abdul Rahman Baba,2.0
Ghana,Thomas Partey,2.0
Ghana,Lawrence Ati Zigi,1.5
Ghana,Kwasi Sibo,1.4
Ghana,Derrick Luckassen,1.0
Ghana,Jordan Ayew,1.0
Ghana,Joseph Anang,0.35
Ghana,Benjamin Asare,0.1
Canadá,Alphonso Davies,40.0
Canadá,Jonathan David,30.0
Canadá,Ismaël Koné,25.0
Canadá,Promise David,17.0
Canadá,Tajon Buchanan,12.0
Canadá,Alistair Johnston,8.0
Canadá,Nathan-Dylan Saliba,7.5
Canadá,Moïse Bombito,7.0
Canadá,Tani Oluwaseyi,7.0
Canadá,Alfie Jones,6.0
Canadá,Stephen Eustaquio,6.0
Canadá,Ali Ahmed,5.0
Canadá,Niko Sigur,4.0
Canadá,Dayne St. Clair,3.5
Canadá,Liam Millar,3.0
Canadá,Derek Cornelius,2.5
Canadá,Jacob Shaffelburg,2.5
Canadá,Cyle Larin,2.5
Canadá,Joel Waterman,2.0
Canadá,Jayden Nelson,2.0
Canadá,Maxime Crépeau,1.8
Canadá,Luc De Fougerolles,1.0
Canadá,Richie Laryea,1.0
Canadá,Jonathan Osorio,1.0
Canadá,Mathieu Choinière,0.8
Canadá,Owen Goodman,0.55
México,Santiago Gimenez,18.0
México,Edson Álvarez,15.0
México,Armando González,15.0
México,Julián Quiñones,14.0
México,Johan Vásquez,12.0
México,Érik Lira,12.0
México,Obed Vargas,10.0
México,Gilberto Mora,10.0
México,Brian Gutiérrez,8.0
México,Alexis Vega,8.0
México,César Montes,7.5
México,Roberto Alvarado,7.5
México,Orbelín Pineda,7.0
México,Raúl Rangel,6.5
México,Israel Reyes,6.5
México,Luis Chávez,6.0
México,Álvaro Fidalgo,6.0
México,Mateo Chávez,4.0
México,César Huerta,3.5
México,Luis Romo,3.0
México,Raúl Jiménez,3.0
México,Carlos Acevedo,2.8
México,Jesús Gallardo,2.8
México,Jorge Sánchez,2.0
México,Guillermo Martínez,1.5
México,Guillermo Ochoa,0.25
Paraguay,Diego Gómez,25.0
Paraguay,Julio Enciso,25.0
Paraguay,Mauricio,15.0
Paraguay,Omar Alderete,13.0
Paraguay,Ramón Sosa,10.0
Paraguay,Isidro Pitta,7.5
Paraguay,Miguel Almirón,7.0
Paraguay,Orlando Gill,6.0
Paraguay,Damián Bobadilla,6.0
Paraguay,Juan José Cáceres,5.0
Paraguay,Andrés Cubas,4.5
Paraguay,Kaku,4.5
Paraguay,Gustavo Gómez,3.5
Paraguay,Braian Ojeda,3.5
Paraguay,Álex Arce,3.5
Paraguay,Matías Galarza,3.0
Paraguay,Alexandro Maidana,2.5
Paraguay,José Canale,2.2
Paraguay,Antonio Sanabria,1.8
Paraguay,Júnior Alonso,1.5
Paraguay,Gustavo Caballero,1.0
Paraguay,Fabián Balbuena,0.9
Paraguay,Gabriel Ávalos,0.75
Paraguay,Gastón Olveira,0.5
Paraguay,Gustavo Velázquez,0.4
Paraguay,Roberto Fernández,0.1
Bosnia y Herzegovina,Tarik Muharemović,25.0
Bosnia y Herzegovina,Kerim Alajbegovic,22.0
Bosnia y Herzegovina,Ermedin Demirovic,22.0
Bosnia y Herzegovina,Amar Dedić,16.0
Bosnia y Herzegovina,Esmir Bajraktarevic,8.0
Bosnia y Herzegovina,Ermin Mahmic,5.0
Bosnia y Herzegovina,Nikola Vasilj,4.5
Bosnia y Herzegovina,Benjamin Tahirović,4.5
Bosnia y Herzegovina,Amar Memić,4.5
Bosnia y Herzegovina,Sead Kolasinac,4.0
Bosnia y Herzegovina,Amir Hadziahmetovic,4.0
Bosnia y Herzegovina,Haris Tabakovic,3.5
Bosnia y Herzegovina,Stjepan Radeljic,2.8
Bosnia y Herzegovina,Armin Gigovic,2.5
Bosnia y Herzegovina,Jovo Lukić,2.2
Bosnia y Herzegovina,Martin Zlomislic,2.0
Bosnia y Herzegovina,Ivan Šunjić,2.0
Bosnia y Herzegovina,Nikola Katic,1.8
Bosnia y Herzegovina,Arjan Malic,1.8
Bosnia y Herzegovina,Ivan Basic,1.5
