date,home_team,away_team,team,scorer,minute,own_goal,penalty
,Países Bajos,Romania,Países Bajos,Kees Pijl,32.0,False,False
,Países Bajos,Romania,Países Bajos,Kees Pijl,52.0,False,False
,Países Bajos,Romania,Países Bajos,Kees Pijl,66.0,False,False
,Países Bajos,Romania,Países Bajos,Kees Pijl,68.0,False,False
,Países Bajos,Romania,Países Bajos,Johannes de Natris,69.0,False,False
,Suiza,Czechoslovakia,Suiza,Walter Dietrich,79.0,False,False
,Egipto,Hungary,Egipto,Ibrahim Yakan,4.0,False,False
,Egipto,Hungary,Egipto,Hussein Hegazi,40.0,False,False
,Egipto,Hungary,Egipto,Ibrahim Yakan,58.0,False,False
,Suecia,Bélgica,Suecia,Rudolf Kock,8.0,False,False
,Suecia,Bélgica,Suecia,Sven Rydell,20.0,False,False
,Suecia,Bélgica,Suecia,Rudolf Kock,24.0,False,False
,Suecia,Bélgica,Suecia,Charles Brommesson,30.0,False,False
,Suecia,Bélgica,Suecia,Tore Keller,46.0,False,False
,Suecia,Bélgica,Suecia,Sven Rydell,61.0,False,False
,Suecia,Bélgica,Bélgica,Henri Larnoe,67.0,False,False
,Suecia,Bélgica,Suecia,Rudolf Kock,77.0,False,False
,Suecia,Bélgica,Suecia,Sven Rydell,83.0,False,False
,Uruguay,Estados Unidos,Uruguay,Pedro Petrone,10.0,False,False
,Uruguay,Estados Unidos,Uruguay,Héctor Scarone,15.0,False,False
,Uruguay,Estados Unidos,Uruguay,Pedro Petrone,44.0,False,False
,Suiza,Czechoslovakia,Suiza,Robert Pache,87.0,False,False
1924-01-06,Francia,Uruguay,Uruguay,Héctor Scarone,2.0,False,False
1924-01-06,Francia,Uruguay,Francia,Paul Nicolas,12.0,False,False
1924-01-06,Francia,Uruguay,Uruguay,Héctor Scarone,24.0,False,False
1924-01-06,Francia,Uruguay,Uruguay,Pedro Petrone,58.0,False,False
1924-01-06,Francia,Uruguay,Uruguay,Pedro Petrone,68.0,False,False
1924-01-06,Francia,Uruguay,Uruguay,Ángel Romano,83.0,False,False
1924-01-06,Suecia,Egipto,Suecia,Per Kaufeldt,5.0,False,False
1924-01-06,Suecia,Egipto,Suecia,Charles Brommesson,31.0,False,False
1924-01-06,Suecia,Egipto,Suecia,Charles Brommesson,34.0,False,False
1924-01-06,Suecia,Egipto,Suecia,Sven Rydell,49.0,False,False
1924-01-06,Suecia,Egipto,Suecia,Per Kaufeldt,71.0,False,False
1924-02-06,Países Bajos,Republic Of Ireland,Países Bajos,Ok Formenoy,7.0,False,False
1924-02-06,Países Bajos,Republic Of Ireland,Países Bajos,Ok Formenoy,104.0,False,False
1924-02-06,Suiza,Italia,Suiza,Paul Sturzenegger,47.0,False,False
1924-02-06,Suiza,Italia,Suiza,Max Abegglen,60.0,False,False
1924-05-06,Suiza,Suecia,Suiza,Max Abegglen,15.0,False,False
1924-05-06,Suiza,Suecia,Suecia,Rudolf Kock,41.0,False,False
1924-05-06,Suiza,Suecia,Suiza,Max Abegglen,77.0,False,False
1924-06-06,Uruguay,Países Bajos,Países Bajos,Cornelis Pijl,32.0,False,False
1924-06-06,Uruguay,Países Bajos,Uruguay,Pedro Cea,62.0,False,False
1924-06-06,Uruguay,Países Bajos,Uruguay,Héctor Scarone,81.0,False,False
1924-08-06,Suecia,Países Bajos,Suecia,Per Kaufeldt,44.0,False,False
1924-08-06,Suecia,Países Bajos,Países Bajos,André le Fèvre,77.0,False,False
1924-09-06,Suecia,Países Bajos,Suecia,Sven Rydell,34.0,False,False
1924-09-06,Suecia,Países Bajos,Suecia,Evert Lundqvist,42.0,False,False
1924-09-06,Suecia,Países Bajos,Países Bajos,Ok Formenoy,43.0,False,False
1924-09-06,Suecia,Países Bajos,Suecia,Sven Rydell,77.0,False,False
1924-09-06,Uruguay,Suiza,Uruguay,Pedro Petrone,9.0,False,False
1924-09-06,Uruguay,Suiza,Uruguay,Pedro Cea,65.0,False,False
1924-09-06,Uruguay,Suiza,Uruguay,Ángel Romano,82.0,False,False
,Uruguay,Chile,Uruguay,Pedro Petrone,40.0,False,False
,Uruguay,Chile,Uruguay,Pedro Petrone,53.0,False,False
,Uruguay,Chile,Uruguay,Pedro Zingone,73.0,False,False
,Uruguay,Chile,Uruguay,Ángel Romano,78.0,False,False
,Uruguay,Chile,Uruguay,Pedro Petrone,88.0,False,False
,Argentina,Chile,Argentina,Gabino Sosa,5.0,False,False
,Argentina,Chile,Argentina,Juan Loyarte,78.0,False,False
,Uruguay,Paraguay,Uruguay,Pedro Petrone,28.0,False,False
,Uruguay,Paraguay,Uruguay,Ángel Romano,37.0,False,False
